CAMIS,DBA,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
40393985.0,MANETTA'S RISTORANTE,Queens,11101.0,40.74287739,-73.95197423,Italian,10.0,A,2022-02-02
40482593.0,SHUBERT THEATER,Manhattan,10036.0,40.7579555,-73.98747105,American,13.0,A,2023-02-01
50047011.0,PITKINS FISH & CHICKEN,Queens,11421.0,40.69329967,-73.85309483,Chicken,10.0,A,2022-09-26
40365972.0,BLARNEY BAR,Queens,11435.0,40.70180334,-73.80867561,American,9.0,A,2022-10-17
50099832.0,NORDSTROM WOLF,Manhattan,10019.0,40.76606542,-73.98131799,American,12.0,A,2022-08-11
50107037.0,TACO BELL,Manhattan,10022.0,40.7611606,-73.96894503,Tex-Mex,12.0,A,2022-11-01
50107906.0,OM RESTAURANT,Manhattan,10028.0,40.77272022,-73.94977555,Indian,21.0,B,2022-02-02
50118551.0,VIVA MEXICO,Brooklyn,11228.0,40.61165657,-74.00995501,Mexican,27.0,Z,2022-11-01
50045106.0,CHECKERS,Manhattan,10027.0,40.81053592,-73.95276332,Hamburgers,7.0,A,2022-09-08
50077005.0,ANGELO'S PIZZA,Queens,11378.0,40.72318502,-73.9124118,Pizza,13.0,A,2022-11-22
50063458.0,RUMA'S KITCHEN,Queens,11377.0,40.74918579,-73.90176662,Bangladeshi,33.0,Z,2022-11-15
50042128.0,THE BRONX BEER HALL,Bronx,10458.0,40.8542401,-73.8886733,Italian,11.0,A,2022-06-01
41688653.0,STARBUCKS,Manhattan,10038.0,40.71190163,-74.00584351,Coffee/Tea,9.0,A,2023-03-08
50111541.0,BEATNIC,Manhattan,10012.0,40.72270515,-73.99696954,Vegan,12.0,A,2022-10-20
41443726.0,MCKENNA'S PUB,Manhattan,10011.0,40.73914633,-74.00112588,American,50.0,C,2022-03-03
50095294.0,DUNKIN,Manhattan,10036.0,40.76197408,-73.99005853,Donuts,7.0,A,2022-07-26
41636259.0,DIDI WORLD FAMOUS FOOD,Brooklyn,11229.0,40.60061003,-73.9401034,Chinese,13.0,A,2022-05-24
50055438.0,AUNTIE ANNE'S PRETZELS,Queens,11374.0,40.73342817,-73.86417003,Bakery Products/Desserts,11.0,A,2022-11-09
50110621.0,LA FLOR DE IZUCAR CAFE,Brooklyn,11232.0,40.65053126,-74.00465247,Spanish,9.0,A,2022-01-14
50072950.0,SZECHUAN MOUNTAIN HOUSE,Queens,11354.0,40.75947768,-73.83224308,Chinese,40.0,Z,2023-02-09
50048490.0,LA COLOMBE,Manhattan,10001.0,40.75155252,-74.00552578,Coffee/Tea,10.0,A,2022-05-26
40952129.0,LA VILLA,Brooklyn,11215.0,40.67445341,-73.98188091,Italian,4.0,A,2023-01-05
